Name of Account, Dollar Value in Millions, Date (yymmdd)
"Social Security Benefits",18,120905
"Supple. Nutrition Assist. Program",17,120905
"Transportation Security Admin.",1,120905
"Unemployment Insurance Benefits",494,120905
"Veterans Affairs programs",93,120905
"Emergency Prep &",57,120905
"IRS Tax Refunds Individual",161,120905
"Unclassified",1587,120905
"Total, Other Withdrawals",2260,120905
"Transfers to Depositaries",0,120905
"Commodity Credit Corporation programs",34,120904
"Defense Vendor Payments",1161,120904
"Education Department programs",1738,120904
"Energy Department programs",91,120904
"Federal Employees Insurance Payments",249,120904
"Fed. Highway Administration programs",225,120904
"Federal Salaries",1861,120904
"Food and Nutrition Service",753,120904
"GSA programs",529,120904
"Health and Human Services Grants",326,120904
"Housing and Urban Development programs",2605,120904
"Interest on Treasury Securities",130,120904
"Justice Department programs",38,120904
"Labor Dept. prgms",64,120904
"Medicaid",670,120904
"Medicare",1485,120904
"NASA programs",1,120904
"Postal Service Money Orders and Other",274,120904
"Public Debt Cash Redemp.",4215,120904
"Social Security Benefits",579,120904
"Supple. Nutrition Assist. Program",7,120904
"Transportation Security Admin.",1,120904
"Unemployment Insurance Benefits",322,120904
"Veterans Affairs programs",243,120904
"Civil Service Retirement",4883,120904
"IRS Tax Refunds Business",161,120904
"Military Retirement",298,120904
"Railroad Retirement",949,120904
"Supple. Security Income Benefits",92,120904
"Unclassified",2085,120904
"Total, Other Withdrawals",8648,120904
"Transfers to Depositaries",0,120904
"Commodity Credit Corporation programs",32,120831
"Defense Vendor Payments",960,120831
"Education Department programs",1843,120831
"Energy Department programs",361,120831
"Federal Employees Insurance Payments",211,120831
"Fed. Highway Administration programs",316,120831
"Federal Salaries",3349,120831
"Food and Nutrition Service",134,120831
"GSA programs",78,120831
"Health and Human Services Grants",996,120831
"Housing and Urban Development programs",152,120831
"Interest on Treasury Securities",5813,120831
"Justice Department programs",20,120831
"Labor Dept. prgms",54,120831
"Medicaid",408,120831
"Medicare",17253,120831
"NASA programs",0,120831
"Postal Service Money Orders and Other",305,120831
"Public Debt Cash Redemp.",54926,120831
"Social Security Benefits",23139,120831
"Supple. Nutrition Assist. Program",14,120831
"Transportation Security Admin.",0,120831
"Unemployment Insurance Benefits",124,120831
"Veterans Affairs programs",268,120831
"Federal Financing Bank",104,120831
"Military Active Duty Pay",3950,120831
"Military Retirement",3645,120831
"Supple. Security Income Benefits",3496,120831
"Veterans Benefits",4272,120831
"Unclassified",1228,120831
"Total, Other Withdrawals",17762,120831
"Transfers to Depositaries",0,120831
"Commodity Credit Corporation programs",27,120830
"Defense Vendor Payments",1502,120830
"Education Department programs",1450,120830
"Energy Department programs",200,120830
"Federal Employees Insurance Payments",164,120830
"Fed. Highway Administration programs",285,120830
"Federal Salaries",128,120830
"Food and Nutrition Service",111,120830
"GSA programs",57,120830
"Health and Human Services Grants",458,120830
"Housing and Urban Development programs",154,120830
"Interest on Treasury Securities",1,120830
"Justice Department programs",86,120830
"Labor Dept. prgms",86,120830
"Medicaid",1417,120830
"Medicare",1432,120830
"NASA programs",0,120830
"Postal Service Money Orders and Other",94,120830
"Public Debt Cash Redemp.",122147,120830
"Social Security Benefits",0,120830
"Supple. Nutrition Assist. Program",26,120830
"Transportation Security Admin.",1,120830
"Unemployment Insurance Benefits",229,120830
"Veterans Affairs programs",185,120830
"Unclassified",605,120830
"Total, Other Withdrawals",1145,120830
"Transfers to Depositaries",0,120830
"Commodity Credit Corporation programs",14,120829
"Defense Vendor Payments",1290,120829
"Education Department programs",2044,120829
"Energy Department programs",137,120829
"Federal Employees Insurance Payments",232,120829
"Fed. Highway Administration programs",209,120829
"Federal Salaries",82,120829
"Food and Nutrition Service",172,120829
"GSA programs",74,120829
"Health and Human Services Grants",444,120829
"Housing and Urban Development programs",188,120829
"Interest on Treasury Securities",1,120829
"Justice Department programs",76,120829
"Labor Dept. prgms",28,120829
"Medicaid",454,120829
"Medicare",1569,120829
"NASA programs",0,120829
"Postal Service Money Orders and Other",97,120829
"Public Debt Cash Redemp.",807,120829
"Social Security Benefits",1,120829
"Supple. Nutrition Assist. Program",14,120829
"Transportation Security Admin.",1,120829
"Unemployment Insurance Benefits",356,120829
"Veterans Affairs programs",204,120829
"IRS Tax Refunds Business",96,120829
"IRS Tax Refunds Individual",267,120829
"Treasury Department programs",187,120829
"Veterans Benefits",80,120829
"Unclassified",943,120829
"Total, Other Withdrawals",1837,120829
"Transfers to Depositaries",0,120829
"Commodity Credit Corporation programs",11,120828
"Defense Vendor Payments",1578,120828
"Education Department programs",1654,120828
"Energy Department programs",114,120828
"Federal Employees Insurance Payments",232,120828
"Fed. Highway Administration programs",474,120828
"Federal Salaries",128,120828
"Food and Nutrition Service",258,120828
"GSA programs",57,120828
"Health and Human Services Grants",405,120828
"Housing and Urban Development programs",162,120828
"Interest on Treasury Securities",2,120828
"Justice Department programs",65,120828
"Labor Dept. prgms",42,120828
"Medicaid",995,120828
"Medicare",1455,120828
"NASA programs",101,120828
"Postal Service Money Orders and Other",109,120828
"Public Debt Cash Redemp.",923,120828
"Social Security Benefits",0,120828
"Supple. Nutrition Assist. Program",35,120828
"Transportation Security Admin.",1,120828
"Unemployment Insurance Benefits",476,120828
"Veterans Affairs programs",124,120828
"Emergency Prep &",77,120828
"IRS Tax Refunds Business",213,120828
"Unclassified",1101,120828
"Total, Other Withdrawals",1391,120828
"Transfers to Depositaries",0,120828
"Commodity Credit Corporation programs",21,120827
"Defense Vendor Payments",1493,120827
"Education Department programs",1447,120827
"Energy Department programs",93,120827
"Federal Employees Insurance Payments",296,120827
"Fed. Highway Administration programs",151,120827
"Federal Salaries",94,120827
"Food and Nutrition Service",380,120827
"GSA programs",52,120827
"Health and Human Services Grants",316,120827
"Housing and Urban Development programs",155,120827
"Interest on Treasury Securities",2,120827
"Justice Department programs",58,120827
"Labor Dept. prgms",72,120827
"Medicaid",665,120827
"Medicare",1475,120827
"NASA programs",101,120827
"Postal Service Money Orders and Other",115,120827
"Public Debt Cash Redemp.",1096,120827
"Social Security Benefits",0,120827
"Supple. Nutrition Assist. Program",7,120827
"Transportation Security Admin.",1,120827
"Unemployment Insurance Benefits",226,120827
"Veterans Affairs programs",145,120827
"Federal Financing Bank",100,120827
"Treasury Department programs",187,120827
"Unclassified",926,120827
"Total, Other Withdrawals",1386,120827
"Transfers to Depositaries",0,120827
"Commodity Credit Corporation programs",27,120824
"Defense Vendor Payments",1527,120824
"Education Department programs",2099,120824
"Energy Department programs",230,120824
"Federal Employees Insurance Payments",404,120824
"Fed. Highway Administration programs",213,120824
"Federal Salaries",82,120824
"Food and Nutrition Service",219,120824
"GSA programs",81,120824
"Health and Human Services Grants",317,120824
"Housing and Urban Development programs",157,120824
"Interest on Treasury Securities",1,120824
"Justice Department programs",84,120824
"Labor Dept. prgms",145,120824
"Medicaid",495,120824
"Medicare",1462,120824
"NASA programs",144,120824
"Postal Service Money Orders and Other",71,120824
"Public Debt Cash Redemp.",841,120824
"Social Security Benefits",1,120824
"Supple. Nutrition Assist. Program",10,120824
"Transportation Security Admin.",1,120824
"Unemployment Insurance Benefits",211,120824
"Veterans Affairs programs",105,120824
"Unclassified",911,120824
"Total, Other Withdrawals",1298,120824
"Transfers to Depositaries",0,120824
"Commodity Credit Corporation programs",16,120823
"Defense Vendor Payments",1499,120823
"Education Department programs",1410,120823
"Energy Department programs",121,120823
"Federal Employees Insurance Payments",535,120823
"Fed. Highway Administration programs",232,120823
"Federal Salaries",848,120823
"Food and Nutrition Service",179,120823
"GSA programs",68,120823
"Health and Human Services Grants",317,120823
"Housing and Urban Development programs",149,120823
"Interest on Treasury Securities",0,120823
"Justice Department programs",69,120823
"Labor Dept. prgms",74,120823
"Medicaid",1646,120823
"Medicare",1456,120823
"NASA programs",61,120823
"Postal Service Money Orders and Other",93,120823
"Public Debt Cash Redemp.",117237,120823
"Social Security Benefits",1,120823
"Supple. Nutrition Assist. Program",6,120823
"Transportation Security Admin.",28,120823
"Unemployment Insurance Benefits",162,120823
"Veterans Affairs programs",117,120823
"Emergency Prep &",70,120823
"Treasury Department programs",93,120823
"Unclassified",765,120823
"Total, Other Withdrawals",1053,120823
"Transfers to Depositaries",0,120823
"Commodity Credit Corporation programs",18,120822
"Defense Vendor Payments",1108,120822
"Education Department programs",2150,120822
"Energy Department programs",107,120822
"Federal Employees Insurance Payments",266,120822
"Fed. Highway Administration programs",198,120822
"Federal Salaries",209,120822
"Food and Nutrition Service",212,120822
"GSA programs",79,120822
"Health and Human Services Grants",309,120822
"Housing and Urban Development programs",144,120822
"Interest on Treasury Securities",1,120822
"Justice Department programs",70,120822
"Labor Dept. prgms",43,120822
"Medicaid",480,120822
"Medicare",2002,120822
"NASA programs",35,120822
"Postal Service Money Orders and Other",119,120822
"Public Debt Cash Redemp.",786,120822
"Social Security Benefits",10944,120822
"Supple. Nutrition Assist. Program",10,120822
"Transportation Security Admin.",24,120822
"Unemployment Insurance Benefits",349,120822
"Veterans Affairs programs",147,120822
"IRS Tax Refunds Individual",248,120822
"Treasury Department programs",259,120822
"Unclassified",961,120822
"Total, Other Withdrawals",1743,120822
"Transfers to Depositaries",0,120822
"Commodity Credit Corporation programs",10,120821
"Defense Vendor Payments",1768,120821
"Education Department programs",1905,120821
"Energy Department programs",86,120821
"Federal Employees Insurance Payments",188,120821
"Fed. Highway Administration programs",170,120821
"Federal Salaries",465,120821
"Food and Nutrition Service",244,120821
"GSA programs",77,120821
"Health and Human Services Grants",311,120821
"Housing and Urban Development programs",132,120821
"Interest on Treasury Securities",1,120821
"Justice Department programs",22,120821
"Labor Dept. prgms",38,120821
"Medicaid",680,120821
"Medicare",1860,120821
"NASA programs",49,120821
"Postal Service Money Orders and Other",125,120821
"Public Debt Cash Redemp.",798,120821
"Social Security Benefits",1,120821
"Supple. Nutrition Assist. Program",2,120821
"Transportation Security Admin.",1,120821
"Unemployment Insurance Benefits",483,120821
"Veterans Affairs programs",88,120821
"IRS Tax Refunds Business",73,120821
"Unclassified",884,120821
"Total, Other Withdrawals",1186,120821
"Transfers to Depositaries",0,120821
"Commodity Credit Corporation programs",25,120820
"Defense Vendor Payments",1871,120820
"Education Department programs",1644,120820
"Energy Department programs",121,120820
"Federal Employees Insurance Payments",148,120820
"Fed. Highway Administration programs",121,120820
"Federal Salaries",1415,120820
"Food and Nutrition Service",617,120820
"GSA programs",86,120820
"Health and Human Services Grants",274,120820
"Housing and Urban Development programs",175,120820
"Interest on Treasury Securities",1,120820
"Justice Department programs",71,120820
"Labor Dept. prgms",65,120820
"Medicaid",544,120820
"Medicare",1532,120820
"NASA programs",77,120820
"Postal Service Money Orders and Other",184,120820
"Public Debt Cash Redemp.",1041,120820
"Social Security Benefits",34,120820
"Supple. Nutrition Assist. Program",13,120820
"Transportation Security Admin.",22,120820
"Unemployment Insurance Benefits",238,120820
"Veterans Affairs programs",191,120820
"Treasury Department programs",1,120820
"Unclassified",1382,120820
"Total, Other Withdrawals",1433,120820
"Transfers to Depositaries",0,120820
"Commodity Credit Corporation programs",33,120817
"Defense Vendor Payments",1285,120817
"Education Department programs",1250,120817
"Energy Department programs",106,120817
"Federal Employees Insurance Payments",150,120817
"Fed. Highway Administration programs",228,120817
"Federal Salaries",3097,120817
"Food and Nutrition Service",282,120817
"GSA programs",64,120817
"Health and Human Services Grants",383,120817
"Housing and Urban Development programs",246,120817
"Interest on Treasury Securities",1,120817
"Justice Department programs",44,120817
"Labor Dept. prgms",66,120817
"Medicaid",961,120817
"Medicare",1546,120817
"NASA programs",38,120817
"Postal Service Money Orders and Other",88,120817
"Public Debt Cash Redemp.",842,120817
"Social Security Benefits",37,120817
"Supple. Nutrition Assist. Program",6,120817
"Transportation Security Admin.",1,120817
"Unemployment Insurance Benefits",117,120817
"Veterans Affairs programs",170,120817
"Treasury Department programs",94,120817
"Unclassified",1220,120817
"Total, Other Withdrawals",2185,120817
"Transfers to Depositaries",0,120817
"Commodity Credit Corporation programs",16,120816
"Defense Vendor Payments",1413,120816
"Education Department programs",1144,120816
"Energy Department programs",203,120816
"Federal Employees Insurance Payments",157,120816
"Fed. Highway Administration programs",248,120816
"Federal Salaries",82,120816
"Food and Nutrition Service",306,120816
"GSA programs",92,120816
"Health and Human Services Grants",275,120816
"Housing and Urban Development programs",113,120816
"Interest on Treasury Securities",1,120816
"Justice Department programs",49,120816
"Labor Dept. prgms",77,120816
"Medicaid",1341,120816
"Medicare",1452,120816
"NASA programs",104,120816
"Postal Service Money Orders and Other",83,120816
"Public Debt Cash Redemp.",92248,120816
"Social Security Benefits",35,120816
"Supple. Nutrition Assist. Program",15,120816
"Transportation Security Admin.",1,120816
"Unemployment Insurance Benefits",232,120816
"Veterans Affairs programs",156,120816
"Emergency Prep &",51,120816
"Unclassified",874,120816
"Total, Other Withdrawals",1184,120816
"Transfers to Depositaries",0,120816
"Commodity Credit Corporation programs",9,120815
"Defense Vendor Payments",1356,120815
"Education Department programs",1185,120815
"Energy Department programs",153,120815
"Federal Employees Insurance Payments",271,120815
"Fed. Highway Administration programs",263,120815
"Federal Salaries",171,120815
"Food and Nutrition Service",356,120815
"GSA programs",63,120815
"Health and Human Services Grants",508,120815
"Housing and Urban Development programs",169,120815
"Interest on Treasury Securities",33432,120815
"Justice Department programs",34,120815
"Labor Dept. prgms",42,120815
"Medicaid",1202,120815
"Medicare",1520,120815
"NASA programs",47,120815
"Postal Service Money Orders and Other",104,120815
"Public Debt Cash Redemp.",65517,120815
"Social Security Benefits",10764,120815
"Supple. Nutrition Assist. Program",12,120815
"Transportation Security Admin.",1,120815
"Unemployment Insurance Benefits",374,120815
"Veterans Affairs programs",124,120815
"International Monetary Fund",65,120815
"IRS Tax Refunds Individual",243,120815
"Military Active Duty Pay",2919,120815
"Unclassified",891,120815
"Total, Other Withdrawals",4243,120815
"Transfers to Depositaries",0,120815
"Commodity Credit Corporation programs",11,120814
"Defense Vendor Payments",2071,120814
"Education Department programs",896,120814
"Energy Department programs",111,120814
"Federal Employees Insurance Payments",349,120814
"Fed. Highway Administration programs",236,120814
"Federal Salaries",106,120814
"Food and Nutrition Service",357,120814
"GSA programs",86,120814
"Health and Human Services Grants",381,120814
"Housing and Urban Development programs",230,120814
"Interest on Treasury Securities",1,120814
"Justice Department programs",62,120814
"Labor Dept. prgms",34,120814
"Medicaid",683,120814
"Medicare",1171,120814
"NASA programs",22,120814
"Postal Service Money Orders and Other",126,120814
"Public Debt Cash Redemp.",784,120814
"Social Security Benefits",38,120814
"Supple. Nutrition Assist. Program",83,120814
"Transportation Security Admin.",28,120814
"Unemployment Insurance Benefits",482,120814
"Veterans Affairs programs",117,120814
"Veterans Benefits",106,120814
"Unclassified",955,120814
"Total, Other Withdrawals",1310,120814
"Transfers to Depositaries",0,120814
"Commodity Credit Corporation programs",19,120813
"Defense Vendor Payments",1548,120813
"Education Department programs",952,120813
"Energy Department programs",130,120813
"Federal Employees Insurance Payments",174,120813
"Fed. Highway Administration programs",120,120813
"Federal Salaries",93,120813
"Food and Nutrition Service",950,120813
"GSA programs",107,120813
"Health and Human Services Grants",255,120813
"Housing and Urban Development programs",154,120813
"Interest on Treasury Securities",1,120813
"Justice Department programs",53,120813
"Labor Dept. prgms",27,120813
"Medicaid",910,120813
"Medicare",1226,120813
"NASA programs",36,120813
"Postal Service Money Orders and Other",124,120813
"Public Debt Cash Redemp.",1170,120813
"Social Security Benefits",32,120813
"Supple. Nutrition Assist. Program",10,120813
"Transportation Security Admin.",35,120813
"Unemployment Insurance Benefits",237,120813
"Veterans Affairs programs",237,120813
"Emergency Prep &",50,120813
"Unclassified",1008,120813
"Total, Other Withdrawals",1217,120813
"Transfers to Depositaries",0,120813
"Commodity Credit Corporation programs",17,120810
"Defense Vendor Payments",1307,120810
"Education Department programs",838,120810
"Energy Department programs",149,120810
"Federal Employees Insurance Payments",353,120810
"Fed. Highway Administration programs",333,120810
"Federal Salaries",80,120810
"Food and Nutrition Service",363,120810
"GSA programs",56,120810
"Health and Human Services Grants",341,120810
"Housing and Urban Development programs",176,120810
"Interest on Treasury Securities",2,120810
"Justice Department programs",56,120810
"Labor Dept. prgms",65,120810
"Medicaid",781,120810
"Medicare",1233,120810
"NASA programs",49,120810
"Postal Service Money Orders and Other",126,120810
"Public Debt Cash Redemp.",886,120810
"Social Security Benefits",38,120810
"Supple. Nutrition Assist. Program",13,120810
"Transportation Security Admin.",1,120810
"Unemployment Insurance Benefits",121,120810
"Veterans Affairs programs",210,120810
"Emergency Prep &",82,120810
"Federal Financing Bank",57,120810
"Unclassified",1033,120810
"Total, Other Withdrawals",1392,120810
"Transfers to Depositaries",0,120810
"Commodity Credit Corporation programs",17,120809
"Defense Vendor Payments",1291,120809
"Education Department programs",457,120809
"Energy Department programs",130,120809
"Federal Employees Insurance Payments",598,120809
"Fed. Highway Administration programs",331,120809
"Federal Salaries",792,120809
"Food and Nutrition Service",427,120809
"GSA programs",85,120809
"Health and Human Services Grants",387,120809
"Housing and Urban Development programs",157,120809
"Interest on Treasury Securities",1,120809
"Justice Department programs",56,120809
"Labor Dept. prgms",67,120809
"Medicaid",1139,120809
"Medicare",1136,120809
"NASA programs",23,120809
"Postal Service Money Orders and Other",132,120809
"Public Debt Cash Redemp.",92218,120809
"Social Security Benefits",47,120809
"Supple. Nutrition Assist. Program",35,120809
"Transportation Security Admin.",34,120809
"Unemployment Insurance Benefits",238,120809
"Veterans Affairs programs",141,120809
"Federal Financing Bank",100,120809
"Unclassified",1089,120809
"Total, Other Withdrawals",1381,120809
"Transfers to Depositaries",0,120809
"Commodity Credit Corporation programs",14,120808
"Defense Vendor Payments",1088,120808
"Education Department programs",724,120808
"Energy Department programs",86,120808
"Federal Employees Insurance Payments",234,120808
"Fed. Highway Administration programs",275,120808
"Federal Salaries",116,120808
"Food and Nutrition Service",369,120808
"GSA programs",122,120808
"Health and Human Services Grants",301,120808
"Housing and Urban Development programs",189,120808
"Interest on Treasury Securities",1,120808
"Justice Department programs",37,120808
"Labor Dept. prgms",36,120808
"Medicaid",1032,120808
"Medicare",1262,120808
"NASA programs",48,120808
"Postal Service Money Orders and Other",184,120808
"Public Debt Cash Redemp.",867,120808
"Social Security Benefits",10947,120808
"Supple. Nutrition Assist. Program",12,120808
"Transportation Security Admin.",25,120808
"Unemployment Insurance Benefits",357,120808
"Veterans Affairs programs",126,120808
"IRS Tax Refunds Individual",244,120808
"Unclassified",1125,120808
"Total, Other Withdrawals",1864,120808
"Transfers to Depositaries",0,120808
"Commodity Credit Corporation programs",12,120807
"Defense Vendor Payments",1291,120807
"Education Department programs",369,120807
"Energy Department programs",81,120807
"Federal Employees Insurance Payments",213,120807
"Fed. Highway Administration programs",146,120807
"Federal Salaries",451,120807
"Food and Nutrition Service",379,120807
"GSA programs",85,120807
"Health and Human Services Grants",340,120807
"Housing and Urban Development programs",151,120807
"Interest on Treasury Securities",1,120807
"Justice Department programs",71,120807
"Labor Dept. prgms",50,120807
"Medicaid",1857,120807
"Medicare",1479,120807
"NASA programs",32,120807
"Postal Service Money Orders and Other",269,120807
"Public Debt Cash Redemp.",2462,120807
"Social Security Benefits",28,120807
"Supple. Nutrition Assist. Program",7,120807
"Transportation Security Admin.",1,120807
"Unemployment Insurance Benefits",514,120807
"Veterans Affairs programs",166,120807
"International Monetary Fund",224,120807
"IRS Tax Refunds Business",90,120807
"Veterans Benefits",123,120807
"Unclassified",1463,120807
"Total, Other Withdrawals",2080,120807
"Transfers to Depositaries",0,120807
"Commodity Credit Corporation programs",30,120806
"Defense Vendor Payments",1257,120806
"Education Department programs",558,120806
"Energy Department programs",72,120806
"Federal Employees Insurance Payments",180,120806
"Fed. Highway Administration programs",131,120806
"Federal Salaries",1400,120806
"Food and Nutrition Service",795,120806
"GSA programs",103,120806
"Health and Human Services Grants",282,120806
"Housing and Urban Development programs",141,120806
"Interest on Treasury Securities",1,120806
"Justice Department programs",83,120806
"Labor Dept. prgms",35,120806
"Medicaid",671,120806
"Medicare",1110,120806
"NASA programs",54,120806
"Postal Service Money Orders and Other",263,120806
"Public Debt Cash Redemp.",831,120806
"Social Security Benefits",33,120806
"Supple. Nutrition Assist. Program",10,120806
"Transportation Security Admin.",24,120806
"Unemployment Insurance Benefits",245,120806
"Veterans Affairs programs",227,120806
"Emergency Prep &",62,120806
"International Monetary Fund",645,120806
"Unclassified",1969,120806
"Total, Other Withdrawals",3045,120806
"Transfers to Depositaries",0,120806
"Commodity Credit Corporation programs",25,120803
"Defense Vendor Payments",1744,120803
"Education Department programs",735,120803
"Energy Department programs",119,120803
"Federal Employees Insurance Payments",188,120803
"Fed. Highway Administration programs",299,120803
"Federal Salaries",3422,120803
"Food and Nutrition Service",278,120803
"GSA programs",91,120803
"Health and Human Services Grants",294,120803
"Housing and Urban Development programs",247,120803
"Interest on Treasury Securities",0,120803
"Justice Department programs",134,120803
"Labor Dept. prgms",52,120803
"Medicaid",560,120803
"Medicare",1241,120803
"NASA programs",109,120803
"Postal Service Money Orders and Other",148,120803
"Public Debt Cash Redemp.",957,120803
"Social Security Benefits",23185,120803
"Supple. Nutrition Assist. Program",3,120803
"Transportation Security Admin.",3,120803
"Unemployment Insurance Benefits",134,120803
"Veterans Affairs programs",132,120803
"Emergency Prep &",73,120803
"Federal Financing Bank",86,120803
"Unclassified",1273,120803
"Total, Other Withdrawals",1729,120803
"Transfers to Depositaries",0,120803
"Commodity Credit Corporation programs",16,120802
"Defense Vendor Payments",525,120802
"Education Department programs",517,120802
"Energy Department programs",177,120802
"Federal Employees Insurance Payments",172,120802
"Fed. Highway Administration programs",290,120802
"Federal Salaries",186,120802
"Food and Nutrition Service",169,120802
"GSA programs",93,120802
"Health and Human Services Grants",272,120802
"Housing and Urban Development programs",202,120802
"Interest on Treasury Securities",1,120802
"Justice Department programs",55,120802
"Labor Dept. prgms",75,120802
"Medicaid",1136,120802
"Medicare",1337,120802
"NASA programs",168,120802
"Postal Service Money Orders and Other",128,120802
"Public Debt Cash Redemp.",90131,120802
"Social Security Benefits",48,120802
"Supple. Nutrition Assist. Program",9,120802
"Transportation Security Admin.",117,120802
"Unemployment Insurance Benefits",238,120802
"Veterans Affairs programs",107,120802
"Federal Financing Bank",61,120802
"Supple. Security Income Benefits",81,120802
"Unclassified",1371,120802
"Total, Other Withdrawals",1682,120802
"Transfers to Depositaries",0,120802
"Commodity Credit Corporation programs",21,120801
"Defense Vendor Payments",849,120801
"Education Department programs",421,120801
"Energy Department programs",122,120801
"Federal Employees Insurance Payments",292,120801
"Fed. Highway Administration programs",178,120801
"Federal Salaries",437,120801
"Food and Nutrition Service",162,120801
"GSA programs",471,120801
"Health and Human Services Grants",405,120801
"Housing and Urban Development programs",2585,120801
"Interest on Treasury Securities",179,120801
"Justice Department programs",32,120801
"Labor Dept. prgms",52,120801
"Medicaid",1047,120801
"Medicare",20386,120801
"NASA programs",0,120801
"Postal Service Money Orders and Other",164,120801
"Public Debt Cash Redemp.",8638,120801
"Social Security Benefits",171,120801
"Supple. Nutrition Assist. Program",13,120801
"Transportation Security Admin.",0,120801
"Unemployment Insurance Benefits",390,120801
"Veterans Affairs programs",330,120801
"Civil Service Retirement",4876,120801
"Federal Financing Bank",198,120801
"IRS Tax Refunds Individual",281,120801
"Military Active Duty Pay",3960,120801
"Military Retirement",3936,120801
"Railroad Retirement",946,120801
"Supple. Security Income Benefits",3457,120801
"Treasury Department programs",59,120801
"Veterans Benefits",4170,120801
"Unclassified",1940,120801
"Total, Other Withdrawals",24174,120801
"Transfers to Depositaries",0,120801
"Commodity Credit Corporation programs",8,120731
"Defense Vendor Payments",1293,120731
"Education Department programs",577,120731
"Energy Department programs",269,120731
"Federal Employees Insurance Payments",285,120731
"Fed. Highway Administration programs",202,120731
"Federal Salaries",90,120731
"Food and Nutrition Service",156,120731
"GSA programs",66,120731
"Health and Human Services Grants",657,120731
"Housing and Urban Development programs",156,120731
"Interest on Treasury Securities",5966,120731
"Justice Department programs",34,120731
"Labor Dept. prgms",44,120731
"Medicaid",804,120731
"Medicare",1322,120731
"NASA programs",0,120731
"Postal Service Money Orders and Other",370,120731
"Public Debt Cash Redemp.",56006,120731
"Social Security Benefits",1,120731
"Supple. Nutrition Assist. Program",18,120731
"Transportation Security Admin.",21,120731
"Unemployment Insurance Benefits",516,120731
"Veterans Affairs programs",124,120731
"International Monetary Fund",242,120731
"IRS Tax Refunds Business",165,120731
"Unclassified",1016,120731
"Total, Other Withdrawals",1691,120731
"Transfers to Depositaries",0,120731
"Commodity Credit Corporation programs",40,120730
"Defense Vendor Payments",1304,120730
"Education Department programs",528,120730
"Energy Department programs",157,120730
"Federal Employees Insurance Payments",261,120730
"Fed. Highway Administration programs",174,120730
"Federal Salaries",72,120730
"Food and Nutrition Service",334,120730
"GSA programs",49,120730
"Health and Human Services Grants",504,120730
"Housing and Urban Development programs",194,120730
"Interest on Treasury Securities",1,120730
"Justice Department programs",73,120730
"Labor Dept. prgms",46,120730
"Medicaid",387,120730
"Medicare",1462,120730
"NASA programs",0,120730
"Postal Service Money Orders and Other",133,120730
"Public Debt Cash Redemp.",1209,120730
"Social Security Benefits",0,120730
"Supple. Nutrition Assist. Program",12,120730
"Transportation Security Admin.",1,120730
"Unemployment Insurance Benefits",233,120730
"Veterans Affairs programs",227,120730
"Federal Financing Bank",86,120730
"IRS Tax Refunds Business",219,120730
"Treasury Department programs",57,120730
"Unclassified",902,120730
"Total, Other Withdrawals",1842,120730
"Transfers to Depositaries",0,120730
"Commodity Credit Corporation programs",13,120727
"Defense Vendor Payments",1886,120727
"Education Department programs",808,120727
"Energy Department programs",235,120727
"Federal Employees Insurance Payments",159,120727
"Fed. Highway Administration programs",511,120727
"Federal Salaries",122,120727
"Food and Nutrition Service",136,120727
"GSA programs",67,120727
"Health and Human Services Grants",591,120727
"Housing and Urban Development programs",149,120727
"Interest on Treasury Securities",1,120727
"Justice Department programs",50,120727
"Labor Dept. prgms",127,120727
"Medicaid",1126,120727
"Medicare",1643,120727
"NASA programs",129,120727
"Postal Service Money Orders and Other",132,120727
"Public Debt Cash Redemp.",938,120727
"Social Security Benefits",38,120727
"Supple. Nutrition Assist. Program",15,120727
"Transportation Security Admin.",1,120727
"Unemployment Insurance Benefits",138,120727
"Veterans Affairs programs",115,120727
"Federal Financing Bank",386,120727
"Unclassified",1043,120727
"Total, Other Withdrawals",2139,120727
"Transfers to Depositaries",0,120727
"Commodity Credit Corporation programs",14,120726
"Defense Vendor Payments",2326,120726
"Education Department programs",821,120726
"Energy Department programs",145,120726
"Federal Employees Insurance Payments",503,120726
"Fed. Highway Administration programs",173,120726
"Federal Salaries",802,120726
"Food and Nutrition Service",159,120726
"GSA programs",103,120726
"Health and Human Services Grants",463,120726
"Housing and Urban Development programs",132,120726
"Interest on Treasury Securities",1,120726
"Justice Department programs",86,120726
"Labor Dept. prgms",59,120726
"Medicaid",1037,120726
"Medicare",1594,120726
"NASA programs",120,120726
"Postal Service Money Orders and Other",174,120726
"Public Debt Cash Redemp.",114500,120726
"Social Security Benefits",40,120726
"Supple. Nutrition Assist. Program",19,120726
"Transportation Security Admin.",1,120726
"Unemployment Insurance Benefits",242,120726
"Veterans Affairs programs",95,120726
"Emergency Prep &",84,120726
"Federal Financing Bank",181,120726
"IRS Tax Refunds Business",58,120726
"Unclassified",1085,120726
"Total, Other Withdrawals",1655,120726
"Transfers to Depositaries",0,120726
"Commodity Credit Corporation programs",15,120725
"Defense Vendor Payments",1337,120725
"Education Department programs",622,120725
"Energy Department programs",149,120725
"Federal Employees Insurance Payments",416,120725
"Fed. Highway Administration programs",223,120725
"Federal Salaries",101,120725
"Food and Nutrition Service",229,120725
"GSA programs",70,120725
"Health and Human Services Grants",321,120725
"Housing and Urban Development programs",189,120725
"Interest on Treasury Securities",1,120725
